municip_code;Average_household_inc_SEK
114;283476
115;307517
117;309167
120;309912
123;291769
125;331179
126;280744
127;238620
128;299380
136;263929
138;304308
139;272473
140;301777
160;375937
162;469219
163;343569
180;309280
181;239209
182;349163
183;284517
184;305868
186;394994
187;340727
188;248359
191;270627
192;257863
305;290777
319;242422
330;308636
331;221299
360;226161
380;261388
381;253928
382;247501
428;228297
461;248679
480;257453
481;260288
482;229686
483;232134
484;234827
486;268936
488;285654
509;218533
512;227640
513;231358
560;231999
561;235035
562;248606
563;223288
580;252906
581;239789
582;248577
583;234464
584;245500
586;237834
604;229813
617;247071
642;238045
643;258193
662;241058
665;240424
680;251402
682;235411
683;250695
684;224549
685;236242
686;244501
687;233320
760;229590
761;231647
763;223070
764;237951
765;259522
767;222290
780;252034
781;242276
821;210798
834;217149
840;243913
860;216871
861;241100
862;233777
880;243582
881;224458
882;256115
883;231860
884;231617
885;218751
980;224720
1060;230453
1080;251027
1081;234972
1082;243585
1083;234658
1214;232725
1230;284519
1231;238675
1233;318412
1256;227236
1257;218202
1260;225413
1261;285960
1262;341133
1263;270030
1264;237441
1265;228763
1266;224923
1267;244361
1270;219394
1272;235020
1273;230782
1275;225513
1276;223564
1277;223814
1278;257018
1280;228691
1281;262079
1282;225679
1283;253401
1284;278400
1285;239507
1286;247467
1287;240329
1290;239181
1291;231781
1292;258050
1293;229340
1315;232459
1380;246053
1381;229979
1382;236467
1383;252869
1384;303304
1401;297752
1402;285986
1407;277912
1415;279982
1419;272399
1421;251212
1427;253624
1430;224041
1435;226735
1438;211996
1439;219368
1440;258723
1441;287749
1442;235479
1443;265443
1444;228877
1445;224926
1446;237545
1447;214091
1452;239344
1460;210982
1461;211266
1462;236467
1463;236743
1465;226716
1466;231811
1470;226770
1471;241612
1472;229074
1473;213358
1480;260046
1481;288187
1482;276740
1484;245780
1485;243215
1486;236209
1487;246106
1488;244764
1489;255714
1490;244911
1491;238315
1492;221543
1493;235903
1494;249601
1495;241638
1496;249440
1497;234464
1498;227203
1499;232254
1715;233690
1730;212331
1737;215531
1760;229686
1761;280023
1762;211688
1763;230211
1764;230402
1765;204900
1766;219314
1780;247863
1781;231010
1782;218027
1783;219516
1784;227017
1785;224812
1814;239700
1860;233281
1861;236211
1862;235183
1863;218083
1864;215894
1880;245972
1881;244718
1882;239584
1883;254014
1884;244725
1885;236085
1904;228204
1907;242572
1960;244682
1961;235210
1962;235784
1980;264317
1981;232764
1982;248638
1983;235890
1984;235688
2021;213377
2023;224597
2026;238547
2029;242515
2031;226915
2034;211998
2039;215205
2061;245965
2062;236191
2080;256334
2081;244344
2082;240794
2083;233645
2084;242002
2085;245478
2101;229534
2104;239174
2121;224568
2132;219418
2161;223218
2180;254578
2181;246764
2182;228702
2183;230191
2184;238630
2260;227996
2262;248539
2280;241185
2281;262731
2282;227331
2283;227466
2284;253173
2303;219342
2305;217691
2309;237882
2313;213806
2321;226167
2326;214918
2361;220371
2380;247180
2401;229750
2403;209907
2404;222513
2409;229032
2417;225625
2418;237571
2421;223674
2422;215802
2425;219134
2460;238681
2462;214869
2463;212370
2480;249245
2481;235659
2482;245696
2505;236840
2506;230218
2510;233015
2513;221523
2514;238760
2518;213666
2521;217651
2523;264669
2560;230874
2580;254219
2581;252077
2582;245611
2583;214155
2584;273049
